USER_ADDRESS,CURRENT_BALANCE
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,42.801077085
0x03f061f6357195dbb545820a6cd9a2ed2b087618,39.124672606
0x0aba55c93cf7292f71067b0ba0d8b464592895ca,38.646667322
0x7e23c6ab8e21213f4a470df979d8e7348d30f756,38.099293752
0x5b06589608b2b11c5abb39e7ddb58979e46132ad,37.49926295
0xa8c73ee57c268872b9d2d7a90e5f2e31af8493fb,34.94947343
0xbb9a92673522f404445521225fb0387b687a13a0,34.624158058
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,33.600283703
0x0872dfa15e300496badbb4c04c939f5e515deedd,33.542592106
0xa1de2815f9cbc8e1195710828d635e008a53cb0e,33.537755813
0xa7465978149d971f0073c686ab0672bbc0272e66,33.329332334
0x0b98c377b62702748898c5c4c9ccc2e2f35f084d,31.277539661
0xb2b9335791346e94245dcd316a9c9ed486e6dd7f,28.798602099
0x2a312b1862189c227a508c3fc1f101428cdd96a0,28.610356455
0x92a4f58009df9eac5f2af6d05977683639f0060e,28.354542
0x438e1879c38b92e235e9791e13972d6c742c7038,28.297703441
0xcf6b8a78f5ddf39312d98aa138ea2a29e5ad851f,28.142982679
0x19e32a092589459a7b9d46c6136b5f53ba0963a1,25.2016006
0xe00d58e8a4850f231c8482681657501d0e49703b,22.520490431
0x62515958f6603a7ec80f9f0b0fb900a07c79a43c,22.13955701
0x19cb58cf4d5ec4b37a6b51542e71ddd9b1bd41de,21.488352735
0xff004748006f00f2f8cf93f075e8b9d09ddbf899,17.881410678
0xc372a2c980c7bd722423a00e507a57926b0cb49f,16.754626382
0x622caa604bce95e576fbc23a78a34a0637670c62,16.701587256
0xd60c419e408f0a80b5d7139c5741b1ca00d57456,16.656090551
0x648aa15faf1446208ef18a27c6c71442847c91b1,15.991246179
0xe34dc471b6921a1d8afe9b6acc02432574ff7a24,15.359683631
0x9d83404d027df63b236e754f66b06ff7378ea3b3,14.199494634
0xca344178ff4d740c7227f97c56575c4879d3669c,14.089777387
0x31b660096f4b407ee416bd0b96697d82b612f61b,13.347110726
0x3ebfd799f009a5e91d897e4c1be07fdb9458b56d,11.7792132
0xfacbbf50b179d12fb41d3f712085b687d332d7ab,11.053010676
0x267a3195ea57ad38e65993dbcb9fbebf8995621d,10.989943348
0x86c62a0dd8690fa2ba6e3e3d9a18d021dbd2565a,10.654625287
0x00c92394c779e78ace580acf7aacfb4c6a86470c,10.259826
0xbd084529090b25947a629c4d82d14e80094a4fd3,9.953635902
0x02a7db34a9415642bc8d9899e29b43e070546a00,9.947166478
0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4,9.715956786
0x4f5695d12c30eae448c5f38023b12572e483453c,9.29721663
0xf1f0c294d247e8691d1118a86ccc669da3c75ca8,9.295147043
0x04e45bcfdb92281277ca0ead0ac674f62c16a635,9.258443313
0x8f6da831710a8d30de1111aaf28c697aaf5056dd,8.9
0xce04002d9e12403be774a32f07172666daf6d5e4,8.789345374
0x623bd252a1057d0e39b0d35719fd4254d353085c,8.338379171
0x7b165e1727e30cc16bcc5c071cdac9740887fca7,8.201164694
0x6626593c237f530d15ae9980a95ef938ac15c35c,8
0xd84c2fdf2f8733a5bbea65eec0bb211947792871,7.948232669
0xabdc47ed04c62b6c0d58f2668cd09200688e1495,7.913623646
0x879e932b55c14ab7ceebb74fe94d2015fdc785b2,7.89044405
0xdcb7c03c06fde7976de5d179b44e8367942fb8d5,7.806352097
0x69755d763e0cbb35b48e6bb739b0f84c8d7071f7,7.638752239
0x5e93934f089e14001a469c3751b0ed806d7e9945,7.591163102
0xc13877e8203bd395b5df47e02138cc08a4b8e566,7.484709284
0x25a0b77124496014890a1c5c8cac433f3fe73df9,7.45033002
0xb256f691e8a14e13d06668dec8b67a3801bdf09e,7.263061891
0x74a9065f7e2279f6748327d538dae1120031f266,7.212383817
0xf8076d4534d73c2816806771a151b016c31948bc,7.027820295
0xcf0ef02c51438c821246f2e6ade50e0f1cb0f385,6.977
0x20deb7705e0f0527c29854bec7e80f1b16794a11,6.785063606
0x2f566d89da82c73384706e98b11fee36c113494d,6.614008409
0x3ed23d80c7b9e3a159316b3f47bbdab738ba893e,6.413455785
